model,prompt,eng,fra,amh,hau,ibo,lin,lug,orm,pcm,run,sna,som,swa,tir,xho,yor,avg_score
AfroLlama-V1,prompt_1,25.74,8.77,2.39,21.19,11.03,17.14,0.45,16,19.67,8.39,8.4,28.57,18.07,7.72,6.4,14.36,12.8
AfroLlama-V1,prompt_2,19.09,5.21,0,10.68,11.03,0,0,4.62,5.57,1.24,1.36,9.18,9.03,6.62,1.68,3.41,4.6
AfroLlama-V1,prompt_3,67.09,63.98,17.55,60.13,49.23,65.71,59.19,40.31,68.2,56.21,58.27,46.26,56.09,9.93,50.17,69.1,50.5
AfroLlama-V1,prompt_4,18.25,15.17,2.13,18.21,25.38,57.71,44.39,30.77,20.66,29.81,27.1,34.01,21.22,11.03,20.2,27.74,26.5
AfroLlama-V1,prompt_5,31.75,21.56,8.24,22.29,27.95,53.14,45.74,28.62,23.61,26.4,31.71,34.01,21.22,22.06,18.52,35.28,28.5
InkubaLM-0.4B,prompt_1,16.67,11.14,1.86,12.72,19.23,17.14,18.39,18.15,11.15,13.66,10.03,18.71,26.05,2.94,3.03,14.84,13.4
InkubaLM-0.4B,prompt_2,14.87,11.85,0,14.44,21.79,22.86,20.18,28.31,10.16,23.29,23.31,24.15,24.37,3.68,7.74,15.82,17.2
InkubaLM-0.4B,prompt_3,14.35,12.8,0,15.07,20,9.71,18.39,23.69,4.26,18.32,14.36,20.75,23.53,0.37,2.02,15.57,13.3
InkubaLM-0.4B,prompt_4,14.56,9.72,0,13.5,17.69,8.57,17.04,20.62,5.25,13.98,14.36,21.43,21.01,2.21,1.35,11.44,12.0
InkubaLM-0.4B,prompt_5,20.25,13.27,0.8,16.64,18.46,9.71,11.66,24.31,17.38,14.29,18.43,21.09,26.26,2.21,7.41,9.25,14.1
LLaMAX3-8B-Alpaca,prompt_1,23.52,9.48,16.76,18.68,2.82,30.86,1.35,7.08,14.75,15.84,4.34,9.52,13.03,15.07,11.45,7.54,12.1
LLaMAX3-8B-Alpaca,prompt_2,24.37,7.82,0.27,15.54,1.28,1.71,4.93,4.62,4.26,19.57,24.66,10.2,15.13,6.62,25.59,6.57,10.1
LLaMAX3-8B-Alpaca,prompt_3,61.29,49.05,35.11,47.57,43.33,75.43,49.78,40,52.13,42.24,39.57,37.07,41.81,42.28,45.79,44.53,45.5
LLaMAX3-8B-Alpaca,prompt_4,42.83,32.7,21.81,37.68,25.64,65.14,52.47,17.54,53.44,40.06,34.69,20.75,24.37,26.1,54.21,42.09,36.9
LLaMAX3-8B-Alpaca,prompt_5,31.75,22.99,16.22,24.96,8.21,58.29,38.12,9.54,26.23,28.88,19.51,10.2,13.87,18.38,22.9,17.52,22.3
Llama-2-7b-chat-hf,prompt_1,27.32,28.67,26.6,18.52,20.26,17.14,31.84,28.92,15.08,25.78,26.56,35.37,18.91,36.03,16.84,19.95,24.1
Llama-2-7b-chat-hf,prompt_2,21.62,13.98,2.13,21.04,4.36,2.29,22.87,4,16.72,6.83,18.43,10.88,11.13,6.25,2.69,18,10.5
Llama-2-7b-chat-hf,prompt_3,22.36,28.67,25.27,15.38,25.13,10.29,22.87,16.31,16.72,25.78,30.08,35.37,19.96,27.57,12.12,16.06,21.4
Llama-2-7b-chat-hf,prompt_4,24.26,37.91,14.89,36.42,26.15,52,45.29,33.85,60,45.03,37.4,43.88,25.42,12.5,20.54,48.42,35.8
Llama-2-7b-chat-hf,prompt_5,20.36,28.67,23.4,18.52,20.51,11.43,26.01,15.69,8.2,13.04,28.73,24.49,14.29,9.19,8.08,10.46,16.6
Llama-3.1-70B-Instruct,prompt_1,67.41,61.37,53.19,38.3,63.59,65.14,48.88,44.62,76.72,58.07,35.23,47.62,48.95,52.57,42.42,73.72,53.5
Llama-3.1-70B-Instruct,prompt_2,75.21,69.43,59.04,62.48,73.33,72.57,54.71,60,87.21,73.91,45.26,67.69,69.54,48.53,52.19,87.35,65.3
