model,prompt,amh,arq,ary,hau,ibo,kin,orm,pcm,som,swa,tir,twi,xho,yor,zul,avg_score
gemma-1.1-7b-it,prompt_1,14.3,16.5,17.8,24.1,12.4,21.9,19.4,18.9,24.4,20.6,11.7,8.8,21.2,18.4,21.6,18.4
gemma-1.1-7b-it,prompt_2,21.7,18.7,9.6,7.2,8.4,14.4,21.0,9.3,8.6,13,24.7,11.4,10.4,9.5,8.3,12.5
gemma-1.1-7b-it,prompt_3,29,24.1,25.3,30.3,14.2,23.1,32.3,19.3,25.9,28.3,27.9,14,22.7,21.4,22.8,23.7
gemma-1.1-7b-it,prompt_4,23,27.4,24.5,26,16.7,29.9,27.9,30.2,27.2,27.4,17.3,14.2,23.3,25,22.5,24.3
gemma-1.1-7b-it,prompt_5,20.8,17.1,9.5,7.2,9.1,14.1,20.8,7.3,8.3,10.7,24.4,9,9.5,10.1,8.3,11.8
Llama-2-7b-chat-hf,prompt_1,20.8,15.8,8.5,6,7.7,14.1,20.8,6.7,8.1,10.5,24.4,8.4,9.2,7.7,8.3,11.2
Llama-2-7b-chat-hf,prompt_2,26.5,22.7,18.4,12.3,14.9,18.9,25.2,14.8,16.1,18.1,30.3,14.2,11.3,14.2,9.7,17.2
Llama-2-7b-chat-hf,prompt_3,14.5,22.4,22.2,24.4,20.2,22.4,31.3,9.4,27.1,24.8,11.7,15.8,24.8,23.1,26.8,21.9
Llama-2-7b-chat-hf,prompt_4,31.6,15.6,12.6,8.3,10.6,14.6,21.8,9.6,10.8,11.5,30.6,11.3,10.8,12,9.2,13.5
Llama-2-7b-chat-hf,prompt_5,19.7,25.6,23.5,23.2,13,19.2,22.8,11.5,11.3,12.1,21.4,15.1,22.7,11.8,24,18.4
Meta-Llama-3-8B-Instruct,prompt_1,26.5,31.8,28.5,24.5,19.7,36.5,37.1,38.8,17.8,34.3,28.4,14.4,25.0,25.9,28.4,27.9
Meta-Llama-3-8B-Instruct,prompt_2,14.3,17.9,18.5,24.1,12.9,21.9,19.4,22.2,24.4,20.9,11.7,8.8,21,19.7,21.6,18.9
Meta-Llama-3-8B-Instruct,prompt_3,14.5,16.5,17.9,24.1,12.3,21.9,19.4,18.9,24.4,21.1,11.8,8.8,21.2,18.4,21.6,18.5
Meta-Llama-3-8B-Instruct,prompt_4,31.7,30.3,28.6,28.2,16.2,40.4,34.2,32.3,27.6,22,30,10,21.4,20.2,23.6,26.1
Meta-Llama-3-8B-Instruct,prompt_5,14.3,16.5,17.8,24.1,12.4,21.9,19.4,18.9,24.4,20.6,11.7,8.8,21.2,18.4,21.6,18.4
LLaMAX3-8B-Alpaca,prompt_1,23.8,32.7,23.8,16.6,13.7,18.6,25.7,28.7,16.1,33.9,24.4,18.3,16.7,14.7,19,21.6
LLaMAX3-8B-Alpaca,prompt_2,37.3,33.2,28,29.4,19,39.5,33.7,36.3,34.1,29,28.2,11.5,11.5,23.1,25.6,27.3
LLaMAX3-8B-Alpaca,prompt_3,20.8,20.6,22.5,13.3,10.8,18.6,23.9,19.8,13.2,29.4,24.4,13.3,10.8,15.6,11,17.7
LLaMAX3-8B-Alpaca,prompt_4,37.2,33.6,31.5,30.7,19.4,38.2,38.2,34.4,27.6,28.9,27.4,13.9,23.7,24.4,29,28.6
LLaMAX3-8B-Alpaca,prompt_5,14.3,16.5,17.8,24.1,12.4,21.9,19.4,18.9,24.4,20.6,11.7,8.8,21.2,18.4,21.6,18.4
Llama-3.1-8B-Instruct,prompt_1,20.6,16.5,17.8,24.1,12.4,21.9,19.4,18.9,24.4,20.6,13.9,8.8,21.1,18.4,21.6,18.6
